feature,mean_importance
MonthlyRate,-0.003021402483708413
JobInvolvement,-0.002248240924104983
YearsAtCompany,-0.002077118768160857
Gender,-0.0016211988743969562
DailyRate,-0.0015127005465815691
HourlyRate,-0.001407738534282521
Education,-0.00013363363365462844
EducationField,-9.857517296967267e-05
PerformanceRating,0.0
JobLevel,0.00010506543448873806
EmployeeNumber,0.00040373206788270056
BusinessTravel,0.0010529079928951802
NumCompaniesWorked,0.0010951968850714255
PercentSalaryHike,0.0011205910626327698
RelationshipSatisfaction,0.0013677386157780358
YearsInCurrentRole,0.001469547762222434
TrainingTimesLastYear,0.001802460024095287
JobSatisfaction,0.001816145982210804
YearsSinceLastPromotion,0.0019302067212137231
WorkLifeBalance,0.0025675581310447225
MaritalStatus,0.002991047416397974
EnvironmentSatisfaction,0.0031572220060302135
YearsWithCurrManager,0.0036663996971365463
Department,0.003753318620818513
JobRole,0.004476314923639491
DistanceFromHome,0.0047086863776832025
TotalWorkingYears,0.0047281946216183425
StockOptionLevel,0.005867604266229121
Age,0.008835063545364586
MonthlyIncome,0.022900944619778395
OverTime,0.04843927293502309
