feature,mean_importance
PercentSalaryHike,-0.003489239812171574
MonthlyRate,-0.00309027545630014
HourlyRate,-0.0017522766725877493
JobInvolvement,-0.0014151939358295728
YearsAtCompany,-0.0007632680527368763
NumCompaniesWorked,-0.00025391538023827875
PerformanceRating,0.0
Gender,0.00015802898271906064
Education,0.0002881898514270675
EnvironmentSatisfaction,0.000560513883688829
EducationField,0.0005768030693734771
RelationshipSatisfaction,0.0006516974539457543
JobSatisfaction,0.0007292687339762738
TrainingTimesLastYear,0.0010319809982636818
MaritalStatus,0.0014446213296558153
TotalWorkingYears,0.0020554786463176876
DailyRate,0.002064759027094154
BusinessTravel,0.002073905203950577
EmployeeNumber,0.002182592214025314
WorkLifeBalance,0.002239134716084146
YearsSinceLastPromotion,0.0026581771399623254
JobRole,0.002660999120090346
YearsInCurrentRole,0.003420803952711404
Age,0.0046647924504892415
DistanceFromHome,0.005386278324190097
Department,0.00750954635781056
JobLevel,0.008275851267891987
YearsWithCurrManager,0.008896755049033978
StockOptionLevel,0.009631007999721908
MonthlyIncome,0.018257325936355994
OverTime,0.031244279817496123
