feature,mean_importance
DailyRate,-0.008302470981128495
HourlyRate,-0.003364603925639775
YearsAtCompany,-0.0033420911638672003
Gender,-0.0016385070539459922
RelationshipSatisfaction,-0.0013290161702696258
EmployeeNumber,-0.0010228872344781425
JobInvolvement,-0.0009984248438626997
EducationField,-0.0007518200045601664
PercentSalaryHike,-0.0004141520367524798
Department,0.0
PerformanceRating,0.0
YearsSinceLastPromotion,0.0005054447902443693
Education,0.0005852143560552304
MonthlyRate,0.0007059283884081502
MaritalStatus,0.0014980915688407315
JobSatisfaction,0.001638264066628936
BusinessTravel,0.001941655224314398
YearsInCurrentRole,0.001960752351244288
WorkLifeBalance,0.0025703221787213627
EnvironmentSatisfaction,0.002748938638554954
DistanceFromHome,0.0033093186449243304
NumCompaniesWorked,0.0037500138489064082
TrainingTimesLastYear,0.003861683816253325
TotalWorkingYears,0.004424763445294966
JobLevel,0.00478840524190669
YearsWithCurrManager,0.006483242538486566
JobRole,0.009617319535692715
StockOptionLevel,0.009754702831630425
Age,0.013229094677227105
MonthlyIncome,0.02548141865292177
OverTime,0.0723022304938445
