feature,mean_importance
YearsSinceLastPromotion,-0.016686917904405473
DailyRate,-0.008353526768860208
Education,-0.005871249631206765
TrainingTimesLastYear,-0.0036691474853886687
Gender,-0.002801177436746827
PercentSalaryHike,-0.002301522205123385
BusinessTravel,-0.00041171801159444187
EducationField,-0.00035031420125495314
PerformanceRating,0.0
WorkLifeBalance,0.0014440458829707015
DistanceFromHome,0.0018241371810500118
MonthlyRate,0.0018757786201038852
YearsInCurrentRole,0.0019822575645770278
JobInvolvement,0.0025873022478665408
YearsAtCompany,0.0029477128447673584
MaritalStatus,0.005051941477972044
HourlyRate,0.0057740988274761484
EmployeeNumber,0.0063904289539334245
Department,0.009396269242487775
EnvironmentSatisfaction,0.00981369080288671
TotalWorkingYears,0.011661171322075826
RelationshipSatisfaction,0.012190597954797633
JobRole,0.013046414831022257
NumCompaniesWorked,0.01400811770381275
StockOptionLevel,0.015076773967286117
YearsWithCurrManager,0.020099940905186974
JobSatisfaction,0.022456765075591568
JobLevel,0.025177257429817614
Age,0.0257563968737363
MonthlyIncome,0.028598719388184857
OverTime,0.11202358919449192
