feature,mean_importance
HourlyRate,-0.011546652311593996
DailyRate,-0.005695596525120616
EducationField,-0.0029343568017454634
TotalWorkingYears,-0.0025521741892132743
Gender,-0.002123199374654483
Education,-0.0006420238187929472
MonthlyRate,-3.4529804675442755e-05
PerformanceRating,0.0
YearsInCurrentRole,0.00020563692712850524
RelationshipSatisfaction,0.000564423119178914
PercentSalaryHike,0.0014693623218990036
EmployeeNumber,0.0022279124704779442
Department,0.0027045846643022784
MaritalStatus,0.002941267890674659
WorkLifeBalance,0.004353899654867788
YearsWithCurrManager,0.004728247540909736
YearsAtCompany,0.0052137023063864585
JobLevel,0.005309624653299427
YearsSinceLastPromotion,0.005395983170746721
DistanceFromHome,0.005914423112148548
JobSatisfaction,0.005976553706529397
TrainingTimesLastYear,0.006033710601191855
Age,0.006238923188472423
NumCompaniesWorked,0.008635070288552893
JobInvolvement,0.008644114719886442
BusinessTravel,0.013266166038550686
JobRole,0.015531702005098269
EnvironmentSatisfaction,0.01567201833564329
StockOptionLevel,0.016405392019952038
MonthlyIncome,0.029085958804401634
OverTime,0.09563752828835612
