feature,mean_importance
BusinessTravel,-0.002119378642375813
HourlyRate,-0.0019035904487722855
DailyRate,-0.001873922137595263
MonthlyRate,-0.0016777665450684043
EmployeeNumber,-0.0016053666780156072
Education,-0.0015542998942183806
Gender,-0.0006989684326280665
TotalWorkingYears,-0.000662715286931459
JobSatisfaction,-0.00040777781447600694
MaritalStatus,-0.0003057329772776618
JobInvolvement,-0.0002879709154125831
JobLevel,-0.00016811340632464367
PerformanceRating,0.0
EducationField,3.775481451084861e-05
TrainingTimesLastYear,0.0001980113051361032
RelationshipSatisfaction,0.00022544328908095102
PercentSalaryHike,0.0005118643824162494
YearsAtCompany,0.0006709721820643333
YearsSinceLastPromotion,0.0014342963864190205
Department,0.0017508069155603655
NumCompaniesWorked,0.002508265012521593
YearsWithCurrManager,0.0029199603532607866
StockOptionLevel,0.003304278894926194
YearsInCurrentRole,0.00331328077590306
WorkLifeBalance,0.0035526854942604545
EnvironmentSatisfaction,0.003981803123406569
DistanceFromHome,0.004681538019278564
JobRole,0.006419933851801329
Age,0.015118633288898776
MonthlyIncome,0.027937304236199632
OverTime,0.05831960864843958
