feature,mean_importance
JobSatisfaction,-0.002317410351086957
WorkLifeBalance,-0.0014823178242883927
MonthlyIncome,-0.0013967657553029089
YearsInCurrentRole,-0.0012823744687101902
TrainingTimesLastYear,-0.001238200977741255
Education,-0.0007081277513386386
PercentSalaryHike,-0.0005459151327631973
Gender,-0.0003618890720475165
JobInvolvement,-7.080591827487436e-05
PerformanceRating,0.0
JobRole,0.0005557573413615957
JobLevel,0.0007554171581055869
HourlyRate,0.001258362054925144
MonthlyRate,0.0013962425733033302
YearsAtCompany,0.0014275767160459307
BusinessTravel,0.0020037489777937957
DailyRate,0.0021701956876546634
EmployeeNumber,0.0027123887190351635
EducationField,0.0027869647922585837
StockOptionLevel,0.0038903179895655392
MaritalStatus,0.005013089423507899
RelationshipSatisfaction,0.005274151975048181
YearsSinceLastPromotion,0.006218281625516175
Age,0.0070957660479567305
NumCompaniesWorked,0.007110630652405048
YearsWithCurrManager,0.007146542217722119
EnvironmentSatisfaction,0.007266273023292713
Department,0.007719804118897433
TotalWorkingYears,0.007766095776719795
DistanceFromHome,0.009562853374305036
OverTime,0.042016157481525415
