feature,mean_importance
YearsSinceLastPromotion,-0.009774360121938285
TrainingTimesLastYear,-0.0061040906452123015
DailyRate,-0.005667826290646582
Education,-0.0034238884852754725
PercentSalaryHike,-0.001618904558964418
WorkLifeBalance,-0.0014031949760634488
Gender,-0.00010067644293951795
PerformanceRating,0.0
JobInvolvement,0.00023876490548804252
BusinessTravel,0.0009560343957599416
EducationField,0.002279618036843278
DistanceFromHome,0.002751069470179668
YearsAtCompany,0.003344400877530562
EnvironmentSatisfaction,0.003476114928173768
MaritalStatus,0.0036319534321567646
YearsInCurrentRole,0.003705983104563504
MonthlyRate,0.004291339751564582
HourlyRate,0.004515625616458086
Department,0.004887896347019194
EmployeeNumber,0.005273771789845427
TotalWorkingYears,0.008366440300541289
RelationshipSatisfaction,0.00861760031372858
JobLevel,0.00915884006716069
JobRole,0.010448035354171825
YearsWithCurrManager,0.010750768928541998
NumCompaniesWorked,0.01332047888095993
StockOptionLevel,0.014728710993793026
JobSatisfaction,0.015681710529899407
Age,0.02265504744388348
MonthlyIncome,0.032610124066487466
OverTime,0.07782159701307459
