feature,mean_importance
HourlyRate,-0.004386846886057172
JobSatisfaction,-0.004350085957816718
EmployeeNumber,-0.0041124853194634105
Education,-0.0010490026774031326
EducationField,-0.0010340815137359516
MonthlyRate,-0.0009904125118878394
BusinessTravel,-0.0008117844339821989
YearsAtCompany,-0.0004204059523249093
PerformanceRating,0.0
JobLevel,2.35455420974362e-05
Gender,0.0002205630986758411
RelationshipSatisfaction,0.0004016268379855803
WorkLifeBalance,0.00042833541371068985
YearsInCurrentRole,0.0004442665439245541
JobInvolvement,0.0005553885877892295
EnvironmentSatisfaction,0.0010227993864124429
JobRole,0.0010489002247343615
TrainingTimesLastYear,0.0019436613234124045
PercentSalaryHike,0.0023209515384953194
StockOptionLevel,0.002700190872204611
DailyRate,0.002899619406460141
YearsSinceLastPromotion,0.003838495417300747
NumCompaniesWorked,0.00492741992354605
MaritalStatus,0.0057387746966503835
TotalWorkingYears,0.00750048637014864
DistanceFromHome,0.007684927904190841
YearsWithCurrManager,0.008845543660479039
Department,0.009494053598418628
Age,0.01058764697929423
MonthlyIncome,0.03187075542657314
OverTime,0.03829400650445901
