feature,mean_importance
MonthlyRate,-0.004794649549746099
HourlyRate,-0.0022510919855365462
YearsAtCompany,-0.0013242791810337052
EducationField,-0.0006569543773358277
DailyRate,-0.00047453537266431976
MaritalStatus,-0.00045646646465197227
Gender,-0.0002861547973395329
PerformanceRating,0.0
JobInvolvement,4.153428225570632e-05
Department,0.0001493204929934877
JobSatisfaction,0.0001542307678787269
Education,0.00038109152613065024
PercentSalaryHike,0.0008381956652352863
EmployeeNumber,0.0012466982656199389
YearsInCurrentRole,0.0017018246904169422
WorkLifeBalance,0.002189187834643358
YearsSinceLastPromotion,0.002672539736669521
JobLevel,0.003254317350525371
BusinessTravel,0.003625419272108965
DistanceFromHome,0.003852945630173832
TrainingTimesLastYear,0.004095210749096778
RelationshipSatisfaction,0.004265544392593623
TotalWorkingYears,0.007579876821604681
YearsWithCurrManager,0.008623802753408006
Age,0.008745418771305313
JobRole,0.008766838318451532
NumCompaniesWorked,0.009383545040540241
StockOptionLevel,0.014612594981358529
EnvironmentSatisfaction,0.014692595677869635
MonthlyIncome,0.022297182868330954
OverTime,0.07261236257362888
