feature,mean_importance
EmployeeNumber,-0.005352108975389069
HourlyRate,-0.00366700514919327
MonthlyRate,-0.002727885545361253
EducationField,-0.0022338721504163274
MaritalStatus,-0.0020674900484553005
JobSatisfaction,-0.0010233601011230386
Education,-0.00033910331832698315
StockOptionLevel,-0.0001470973083205651
PercentSalaryHike,-4.502448648761037e-05
PerformanceRating,0.0
Gender,0.0003830498523141546
DailyRate,0.0018750561966972001
JobLevel,0.0025072363954828257
BusinessTravel,0.002610116683100294
JobInvolvement,0.0029241427570169897
WorkLifeBalance,0.0031444251224716944
TrainingTimesLastYear,0.0033557578606543737
YearsAtCompany,0.00346816944877395
NumCompaniesWorked,0.0036053666767577484
YearsSinceLastPromotion,0.0036273056137023805
Department,0.0038976827887159836
JobRole,0.004514099719186937
RelationshipSatisfaction,0.004535405854566421
EnvironmentSatisfaction,0.004607592509000358
YearsInCurrentRole,0.005283957339115996
TotalWorkingYears,0.008130127088874362
DistanceFromHome,0.009112186571635516
YearsWithCurrManager,0.009747686459025795
Age,0.013286851929779474
MonthlyIncome,0.033764719506101715
OverTime,0.043932191785148865
