feature,mean_importance
MonthlyRate,-0.0020015118342168623
WorkLifeBalance,-0.0016444128995622641
DailyRate,-0.0013975285022654548
JobSatisfaction,-0.0006861952136576255
PercentSalaryHike,-0.0006528251577372135
Gender,-0.0006368335544457259
HourlyRate,-0.00010878869725572393
JobLevel,-2.8675146830037247e-05
PerformanceRating,0.0
YearsInCurrentRole,8.280067217520947e-05
JobInvolvement,0.0002534609787230746
Education,0.0004518945777459038
EducationField,0.0008342676681685202
TrainingTimesLastYear,0.0008823186333567934
BusinessTravel,0.0008990203151259424
YearsSinceLastPromotion,0.0010813806547542604
RelationshipSatisfaction,0.001280215524839512
EmployeeNumber,0.0015816364653120862
JobRole,0.002511850157419748
YearsWithCurrManager,0.002867987349444534
Department,0.0032784497377333797
NumCompaniesWorked,0.0033664823884264174
YearsAtCompany,0.0037975677648025563
MaritalStatus,0.003904011709093269
MonthlyIncome,0.0041169338782212515
StockOptionLevel,0.005160886515107488
TotalWorkingYears,0.005345561483471861
Age,0.006408411197250075
EnvironmentSatisfaction,0.0065822186885158614
DistanceFromHome,0.0070195933378168094
OverTime,0.02901809246477103
