feature,mean_importance
MonthlyRate,-0.00458226019659883
EnvironmentSatisfaction,-0.004331552072054501
YearsSinceLastPromotion,-0.0012439317087890923
YearsAtCompany,-0.001045667511565229
HourlyRate,-0.00101376228843838
Education,-0.0008079733099954356
EmployeeNumber,-0.0006340323819521876
JobSatisfaction,-0.0005701726044837873
PercentSalaryHike,-0.00015296963264156417
WorkLifeBalance,-0.00012608435747767376
Gender,-6.018722733510673e-05
PerformanceRating,1.104733586265727e-06
RelationshipSatisfaction,5.696531256634829e-05
YearsInCurrentRole,0.00017619046163925846
TrainingTimesLastYear,0.00024192609134036092
NumCompaniesWorked,0.00041402854818274327
JobRole,0.0004434145586436622
JobInvolvement,0.000528695471593743
EducationField,0.0006455107625334966
BusinessTravel,0.0007536558415111138
DailyRate,0.0010371851351006268
StockOptionLevel,0.002593343517308777
TotalWorkingYears,0.0034160760147431413
Age,0.004535819431919552
DistanceFromHome,0.006801783346473067
MaritalStatus,0.007861246336013438
YearsWithCurrManager,0.00805791019462183
JobLevel,0.008139072897128997
Department,0.0114347149338483
MonthlyIncome,0.01624936820320454
OverTime,0.03699299596845455
