feature,mean_importance
JobSatisfaction,-0.004325615038201502
EmployeeNumber,-0.0031031380040707933
Gender,-0.0014698035194303238
TrainingTimesLastYear,-0.0013481804137392972
Education,-0.0012639311342117821
HourlyRate,-0.0007975387848796811
EducationField,-0.00042206631506861434
DistanceFromHome,-0.00019600327132757167
BusinessTravel,-0.00016030823774850766
RelationshipSatisfaction,-2.287230075942448e-05
PerformanceRating,0.0
MonthlyRate,0.00019316130229742878
MaritalStatus,0.000982142078265269
YearsInCurrentRole,0.0018509235213930331
WorkLifeBalance,0.00189817170862282
JobLevel,0.0019712229509672554
EnvironmentSatisfaction,0.0028554183878347406
PercentSalaryHike,0.004022233915285112
JobRole,0.0041327099982358725
Department,0.004399090340200795
DailyRate,0.005095033204480603
JobInvolvement,0.0052919111161298885
YearsAtCompany,0.005440486086403529
TotalWorkingYears,0.0063301981362347435
NumCompaniesWorked,0.00750864285342151
YearsSinceLastPromotion,0.009199598395604603
StockOptionLevel,0.010902161062487103
YearsWithCurrManager,0.013301975879022964
Age,0.01917385239347853
MonthlyIncome,0.029383848919692434
OverTime,0.04936299156213825
