feature,mean_importance
HourlyRate,-0.003415228353185251
Education,-0.002873331009556801
DailyRate,-0.0025506923326896968
WorkLifeBalance,-0.001950179925821749
MonthlyRate,-0.0016665781428321757
Gender,-0.001133180862944727
EmployeeNumber,-0.0011304925832608336
JobInvolvement,-0.0006154841548430712
Age,-0.00028188035994163306
EducationField,-6.752810820214173e-05
PerformanceRating,0.0
YearsInCurrentRole,5.6666384920578405e-05
TrainingTimesLastYear,0.000548682119913102
BusinessTravel,0.0015303794551323358
JobSatisfaction,0.0015737951744244638
PercentSalaryHike,0.0020571170834210338
JobRole,0.0023868566681570225
RelationshipSatisfaction,0.0036240171144638067
JobLevel,0.003991453746025786
MonthlyIncome,0.00401780516653667
YearsAtCompany,0.004484500997363106
YearsWithCurrManager,0.005805362350150755
StockOptionLevel,0.007073730934551681
YearsSinceLastPromotion,0.009113198818786073
NumCompaniesWorked,0.009152042491543022
DistanceFromHome,0.009870738641623477
MaritalStatus,0.010363313431472797
EnvironmentSatisfaction,0.010573079267685359
TotalWorkingYears,0.012781761074266484
Department,0.014822025113356497
OverTime,0.04835350337402668
