feature,mean_importance
EmployeeNumber,-0.0027206709758441526
HourlyRate,-0.0016423088990905165
YearsAtCompany,-0.0014575319178897872
Gender,-0.0013823215004033274
JobInvolvement,-0.00056108165593598
JobSatisfaction,-0.000451718748079033
Education,-0.00040298277191661567
DailyRate,-0.0003067867702182814
MonthlyRate,-0.0001221482493579562
PerformanceRating,0.0
PercentSalaryHike,0.0001309763017503629
EducationField,0.00023775254737165019
RelationshipSatisfaction,0.0004620864588208096
Department,0.0006229810521640511
MaritalStatus,0.0008203628358112725
BusinessTravel,0.0009027849690767753
YearsInCurrentRole,0.0009561422220880855
DistanceFromHome,0.0018932165501798215
JobLevel,0.0022004695112483818
TrainingTimesLastYear,0.002242215482468979
YearsSinceLastPromotion,0.002878658607139606
WorkLifeBalance,0.004081911023658025
TotalWorkingYears,0.004126431172991251
NumCompaniesWorked,0.00448422768605623
StockOptionLevel,0.005080526283255793
JobRole,0.005109822820977716
EnvironmentSatisfaction,0.009956036609381425
YearsWithCurrManager,0.012066977309738736
Age,0.012569386613202903
MonthlyIncome,0.026421368458387228
OverTime,0.06179182263131864
